Original Word,After Doubled Letter Removal
co,coo
mog,mmog
anl,anal
shen,sheen
shafer,shaffer
bufing,buffing
filer,filler
lucile,lucille
dif,diff
tau,tatu
hee,hehe
mc,mcc
mul,mull
conect,connect
pi,pii
sb,ssb
xxix,xxxix
hope,hoppe
sui,susi
iee,ieee
vile,viele
gi,gii
mun,munn
bde,bede
vela,vella
bost,boost
dona,donna
sca,scca
mitte,mittee
cs,ccs
philip,phillip
deidre,deirdre
dis,diss
being,beeing
kar,karr
ece,ecce
jeanie,jeannie
mob,mobb
pou,popu
tired,tiered
bruner,brunner
mcauley,mccauley
be,bee
tities,titties
luca,lucca
red,redd
jps,jsps
peeing,peeping
brea,berea
tania,tanita
nets,nents
dun,dunn
aks,asks
mclellan,mcclellan
roper,roeper
ck,cck
fma,fama
sps,spss
sped,speed
ch,chh
lcos,locos
giles,geiles
waker,weaker
sho,shoo
asb,aasb
always,allways
dc,dcc
chanel,chancel
rader,reader
pb,ppb
aris,arias
size,seize
baker,bakker
anemia,anaemia
roomates,roommates
sexcam,sexscam
mmm,mmmm
litle,little
yoo,yoyo
ale,alle
sale,seale
canceling,cancelling
cates,castes
gre,gree
derick,derrick
ros,ross
glen,glenn
cap,capp
ba,bba
jin,jinn
ef,eef
mv,mmv
cd,cdd
cad,cadd
sher,sheer
mitchel,mitchell
randal,randall
bc,bbc
pis,pips
davies,daviess
dame,damme
mcalister,mcallister
pero,perro
dp,dpp
nigra,niagra
pae,pape
jr,jrr
husain,hussain
ld,lld
tal,tall
le,lee
fot,foot
ao,aao
thresomes,threesomes
via,viva
aron,aaron
bef,beef
au,aau
xv,xxv
dl,ddl
dimer,dimmer
waren,warren
bib,bibb
muse,musee
ccc,cccc
geranium,germanium
cuming,cumming
ld,ldd
kla,kala
mathews,matthews
xvii,xxvii
xxvi,xxvii
ns,nns
kwai,kawai
nesbit,nesbitt
dam,damm
hela,hella
wester,wrester
modeler,modeller
wring,wiring
iran,irian
cater,carter
ven,venn
ni,nii
fet,feet
scherer,scherrer
snorkeling,snorkelling
gs,gss
bna,bana
ais,asis
fury,furry
plo,polo
ii,iii
regio,reggio
cameron,cameroon
marcelo,marcello
nve,neve
raises,raisers
mata,matta
martel,martell
htp,http
mro,moro
wl,wll
buses,busses
sats,stats
ity,itty
pas,pass
orville,oroville
suny,sunny
baker,beaker
cpa,capa
polar,poplar
come,comme
tes,tess
satin,statin
wave,weave
hadley,headley
ci,cci
ani,anni
goverment,government
wagoner,waggoner
gni,gini
nies,nines
con,coon
megan,meagan
marvelous,marvellous
lau,luau
taser,taster
parish,parrish
gul,gull
dio,dido
total,totaal
lisa,lissa
raz,razz
kraus,krauss
mcghee,mcgehee
hb,hhb
leds,leeds
page,pagee
ernst,ernest
pets,pests
arb,arab
blurs,blurbs
briana,brianna
simons,simmons
nace,nance
rds,rrds
board,bboard
tg,ttg
taks,tasks
cowell,colwell
atwood,attwood
ep,epp
satelite,sattelite
wats,watts
hd,hdd
sol,soll
mis,miss
ugs,usgs
galeries,galleries
toth,tooth
arista,artista
crips,crisps
madan,mandan
lm,llm
crates,creates
wda,wada
or,oor
sacha,sascha
cn,ccn
jo,joo
eg,egg
quel,quell
aten,atten
hof,hoof
asp,asap
shanxi,shaanxi
inuit,intuit
runways,runaways
sita,sista
argument,arguement
adl,addl
succes,success
ets,ests
gary,garry
chafee,chaffee
shots,shoots
madan,madman
pula,paula
chase,chasse
koo,koko
lege,legge
meda,maeda
mbs,mbbs
cullman,cullmann
bergman,bergmann
bren,breen
some,somme
breton,bretton
bridgwater,bridgewater
pitman,pittman
courtney,courteney
hba,haba
drum,durum
am,aam
seus,seuss
mek,meek
pg,ppg
cti,citi
thomason,thomaston
rok,rook
sven,seven
dragon,dragoon
da,daa
aliyah,aaliyah
vs,vss
benet,bennet
bers,beers
gin,ginn
gc,gcc
cfs,cfcs
gn,gnn
elven,eleven
ari,arai
cos,csos
winer,winner
og,ogg
ban,baan
expl,expel
aas,aaas
nia,nina
finish,finnish
tia,tiaa
nar,narr
lading,landing
dor,dorr
fin,finn
boats,boasts
ez,eez
shaper,sharper
as,ass
ese,esse
lote,lotte
th,tth
ie,iie
fy,ffy
hemorrhage,haemorrhage
johanson,johansson
sena,senna
canon,cannon
bop,bopp
hog,hogg
arin,arian
brak,barak
vale,valve
jewelery,jewellery
early,earley
acc,accc
lager,larger
caine,canine
aai,aaai
led,leed
nets,nests
por,poor
diver,driver
so,soo
age,agee
nt,ntt
das,dass
fueled,fuelled
roland,rolland
medio,meedio
ericson,ericsson
stah,stash
rp,rpp
qa,qaa
slo,solo
xii,xxii
xxi,xxii
