Original Word,After Doubled Letter Removal
baby,bbay
that,taht
this,tihs
with,wtih
from,form
your,yuor
have,hvae
more,mroe
home,hmoe
about,aobut
search,serach,saerch,seacrh
free,fere
other,otehr
information,infromation,informaiton,inforamtion,infomration
they,tehy
site,stie
what,waht
which,whcih
their,thier
news,nwes
there,three
only,olny
when,wehn
contact,conatct
here,hree
business,buisness,bussines,busienss,busniess,bsuiness
also,aslo
view,veiw
online,onilne,onlnie,olnine
first,frist,fisrt
services,servcies,serivces
click,clcik
service,serivce,servcie,srevice,sevrice
price,pirce
people,poeple,pepole,peolpe,peploe
list,lsit
just,jsut
state,satte
email,emial,eamil
health,helath,heatlh,haelth,heltah
world,wolrd
used,uesd
last,lsat
music,muisc,msuic
available,avaliable,avialable,avaialble,avalaible,availalbe
best,bset
software,softwrae,sotfware,sofwtare,sfotware,softawre
video,viedo,vedio,vdieo
rights,rigths
books,bokos
school,shcool,scohol
through,thorugh
review,reveiw
order,oredr
privacy,priavcy
items,itmes
company,comapny,compnay
read,raed
said,siad
does,deos
research,reserach,reaserch
university,univeristy,universtiy,unviersity,uinervtisy
january,janaury,januray
mail,mial
reviews,reveiws,reivews,reviwes
know,konw
games,gmaes,gaems
days,dyas
part,prat
could,cloud
great,garet,graet
united,untied
hotel,htoel,hoetl
real,rael
item,ietm
ebay,eaby
store,sorte
travel,tarvel,trvael,traevl,terval
development,developemnt
details,dilates,detials
hotels,hotles,htoels,hoetls
right,rghit
because,becuase,beacuse,becasue,bcuseae
results,rustles
design,desgin,deisgn
internet,interent
community,communtiy
within,wihtin
area,aera
want,wnat
reserved,reversed
between,bewteen
forum,fourm
family,famliy
show,sohw
black,balck,blcak
special,speical,specail
prices,precis
website,webiste
being,bieng
women,wemon,woemn
today,toady
case,csae
project,porject,proejct,projcet,prjoect
pages,pgaes,paegs
version,verison
section,seticon
sports,strpos
house,hosue,huose
related,realted
security,secuirty,securtiy
county,coutny
american,amercian,amreican,ameriacn,ameircan,aemrican
game,gmae
members,membres
care,crae
network,netwrok,netowrk
computer,compteur,comptuer
total,toatl
place,palce,pclae
following,follwoing
download,donwload,downlaod,dwonload,downolad,dowlnoad,daolnwod,dowloand
without,wihtout,wouthit,whitout
resources,recourses
history,histroy,hisotry
pictures,pictuers,picutres,pitcures,pictrues,pcitures
personal,presonal,persoanl
including,inlcuding,inculding
guide,giude
directory,driectory,direcotry,directroy,dircetory,diretcory,dierctory
board,broad,barod,borad
white,withe,wihte,whtie
small,samll
government,governemnt,govenrment
children,childern
times,tiems,temis
sites,sties
digital,digtial,digiatl,diigtal,dgiital
profile,prolife
previous,pervious,previuos
love,lvoe
john,jhon
main,mian
hours,horus
description,descritpion
insurance,insurnace,insruance
still,sitll
money,moeny
quality,quailty,qualtiy,qaulity
every,ervey
content,connett
country,counrty
customer,costumer
movies,moives,moveis,mvoies
include,inlcude
article,artilce
card,crad
jobs,jbos
author,auhtor,atuhor,autohr
different,differnet
press,psers
learn,laren
sale,slae
around,arnoud
course,crusoe,crouse
stock,sotck,stcok
credit,cerdit,creidt
point,pinot,piont
science,sceince,scinece,sicence,sciecne
west,wset
sales,seals
english,elingsh
photos,pothos
category,cateogry,categroy
gallery,gallrey,gellary
table,talbe,tbale
really,ralley
start,strat
features,featuers
required,requried
accessories,accessoires
movie,moive,mvoie
forums,fourms
september,spetember
questions,quesitons
yahoo,yhaoo,yaoho
going,giong
test,tset
friend,freind,firend
application,applicaiton
cart,crat
again,agian
play,paly
april,apirl,arpil
comment,commnet
financial,finanical
things,thigns
against,agaisnt,agianst,aganist
mobile,moblie
less,lses
blog,bolg
party,patry
equipment,eqiupment
login,ligon
offers,offres
stores,sotres
problem,probelm,porbelm
performance,preformance,perfromance
quote,qoute
language,langauge
story,stroy
experience,expereince,expierence
young,yuong
america,amercia
field,filed,flied,feild
east,esat
girls,grils,gilrs
latest,lestat
something,soemthing,somehting
road,raod
question,quesiton
hard,hrad
texas,taxes
four,fuor
poker,poekr,pkoer
status,suttas
building,buidling,buliding
february,feburary,febraury
blue,bule
groups,grupos
files,flies,felis
analysis,anaylsis,analisys
picture,pictrue,picutre,pitcure
space,scape
cards,cadrs,crads
problems,probelms
interest,interset
california,califorina,califronia
porn,pron
similar,simliar
garden,graden
companies,comapnies
term,trem
film,flim
stories,sorties,stroies,stoires,storeis,sotries,seirots
computers,comptuers
images,igames
original,origianl
radio,raido
until,unitl
self,slef
