Most Common Word,Permutation/Doubled Letter Removal
that,taht
from,form
free,fere
their,thier
there,three
business,buisness
first,frist
just,jsut
last,lsat
available,avaliable
read,raed
university,univeristy
part,prat
could,cloud
united,untied
because,becuase,beacuse,becasue
area,aera
reserved,reversed
women,wemon
members,membres
download,donwload,downlaod
pictures,pictuers
board,broad
hours,horus
course,crusoe,crouse
point,pinot
sales,seals
start,strat
accessories,accessoires
offers,offres
field,filed,flied
girls,grils
latest,lestat
texas,taxes
groups,grupos
files,flies,felis
space,scape
porn,pron
stories,sorties
safety,saftey
friends,finders,freinds
cars,cras
past,psat
resource,recourse
true,ture
videos,vidoes
fact,fcat
unit,uint
deals,dales
commercial,commerical
received,recieved
girl,gril
receive,recieve
michael,micheal
created,catered
port,prot
lines,liens
believe,beleive
silver,sliver
jewelry,jewlery,jewerly
lesbian,lesbain
asian,asain
cnet,cent
perfect,prefect
tree,tere
modern,morden
trial,trail
enterprise,entreprise
pass,psas
expected,excepted
grade,garde
panel,penal
boards,broads
parties,pirates
born,bron
except,expect
incest,insect
sets,stes
repair,rapier
paris,pairs
farm,fram
agree,agere
goes,geos
demand,damned
piece,peice
goal,gaol
lives,levis
amateur,amatuer
canon,conan
letters,lettres
mass,msas
fuck,fcuk
creating,catering
sorted,stored
tours,torus
marine,marnie
porno,prono
intended,indented
mental,mantel
centers,centres
reserve,reverse
camp,cmap
codes,coeds
teams,temas
senate,santee
tried,tired
brain,brian
flower,fowler
felt,flet
bear,baer
gain,gian
signs,sings
anime,amine
portal,patrol
performed,preformed
davis,divas
daniel,denial
bars,bras
scene,sence
enterprises,entreprises
phoenix,pheonix
shares,shears
voyeur,voyuer,vouyer
adobe,abode
drives,divers
feeling,fleeing
rain,rian
prescription,perscription
bedroom,boredom
conservation,conversation
salt,slat
receiving,recieving
lesbians,lesbains
spread,spared
plain,palin
border,broder
linear,lanier
bears,bares
pure,prue
begins,beings
alerts,alters
suck,scuk
storm,strom
delay,daley
gray,gary
chicken,checkin
resorts,rosters
forth,froth
gateway,getaway
split,spilt
router,retour
penis,pines
gardens,grandes
heads,hades
density,destiny
meant,manet
roman,ramon
dragon,dorgan
captain,capitan
rail,rial
bestiality,beastility
dial,dail
lounge,longue
proteins,pointers
lies,leis
breaks,brakes,bakers
streets,setters
rhode,rohde
spaces,scapes
escape,espace
receiver,reciever
trials,trails
masters,matress
lakes,leaks
diary,dairy
shooting,soothing
abroad,aboard
farmers,framers
globe,goble
pdas,pads
plates,petals,pleats
casual,causal
smile,slime
partly,paltry
angels,angles
complaint,compliant
burn,brun
bread,beard,bared
bukkake,bukakke
reserves,reverses
hearts,haters
carter,crater
silk,slik
compiled,complied
manga,magna
caps,cpas
aims,amis
corp,crop
median,maiden
guns,gnus
binary,brainy
feels,flees
corps,crops
singer,signer
vast,vsat
jeans,janes
wrap,warp
framed,farmed
ncaa,naca
blogging,boggling
weird,wired,wierd
lion,loin
meals,males
meters,metres
neil,niel
carol,coral
corn,cron
slave,salve
trek,terk
floral,forall
neutral,naturel
spears,spares
brad,bard
tail,tial
toner,tenor
singing,signing
spots,stops
salon,sloan
cure,crue
panels,planes
tongue,tounge
bowling,blowing
gauge,guage
macro,marco
fingers,fringes
theaters,theatres
burns,bruns
sacred,scared
clone,colne
relay,realy
tears,treas
baseline,balinese
barnes,branes
solaris,sailors
cups,cpus
preserve,perverse
tribune,turbine
forests,fosters
martial,marital
genres,greens
brunette,burnette
bios,bois
bare,brae
sluts,sults
elvis,evils
jamie,jaime
jeffrey,jeffery
tries,tires,tiers
raid,riad
decent,decnet
carlos,carols,corals
fired,fried
suits,situs
trades,treads
handled,hedland
calm,clam
burton,bruton
farming,framing
troy,tory
tray,tary
grab,garb
trap,tarp
observe,obverse
dies,deis
ronald,roland
biol,boil
skins,sinks
poly,ploy
ears,eras
crap,carp
earl,eral
eternal,enteral
milan,malin
lions,loins
pools,polos
chambers,chambres
burner,bruner
saints,stains
diana,dania
barely,barley
voyeurweb,voyuerweb
consoles,coolness
kilometers,kilometres
coordinates,carotenoids
satin,stain
drain,darin
fires,fries
circles,clerics
beats,bates,betas
altered,alerted
trainers,terrains
fears,fares
acne,ance
curtis,citrus
parental,prenatal,paternal
broader,boarder
rouge,rogue
striking,skirting
restored,resorted
msie,mise
barn,bran
pierce,peirce
carb,crab
mats,mtas
receivers,recievers
suited,setuid
skating,staking
grad,gard
clara,carla
garcia,gracia
titled,tilted
lanes,leans
condos,codons
trauma,tamura
souls,solus
spine,snipe
gerald,glared
intranet,internat
badly,baldy
grenada,gardena
carlo,claro
bolt,blot
peers,peres
beastality,beastialty
notre,norte
stripes,sprites
flour,fluor
spas,saps
bent,bnet
stake,skate
sorting,storing
demos,domes
resin,risen
linen,lenin
expecting,excepting
amateurs,amatuers,amatures
crane,carne
khan,kahn
caller,cellar
korn,kron
soils,solis,silos
swan,sawn
